,0,1,2,3,4,5,6,7,8,9
16,0.16309512,0.16478892,0.19670501,0.18752915,0.13289616,0.13234639,0.13235462,0.16119176,0.22241218,0.21061106
17,0.23096031,0.15025684,0.13763565,0.18352652,0.22298725,0.17469673,0.17897639,0.16843933,0.15997875,0.19531788
18,0.13086516,0.19233774,0.18958363,0.1409163,0.19439712,0.22690272,0.22252245,0.13110602,0.16442513,0.12803003
19,0.14444035,0.23196603,0.16386195,0.1662131,0.14399733,0.16081004,0.13715026,0.19934541,0.12012833,0.15979064
20,0.12974483,0.22581062,0.13031363,0.12012127,0.15888175,0.17082903,0.16865332,0.12375173,0.16004361,0.14409715
21,0.11934842,0.15027955,0.15237409,0.16747032,0.13712278,0.13437189,0.1487055,0.12085373,0.14128894,0.14522278
22,0.15752038,0.181378,0.1361039,0.164886,0.15290248,0.18319696,0.14727409,0.13391863,0.117470436,0.13051751
23,0.140385,0.19549112,0.12339613,0.11752279,0.12378765,0.1491884,0.15710999,0.14630607,0.11659545,0.14873809
24,0.12513597,0.14253452,0.12740771,0.14664991,0.16367663,0.15645605,0.15746325,0.12386231,0.16958418,0.14713445
25,0.16048786,0.11867652,0.1310987,0.12160222,0.1323354,0.15366106,0.109724246,0.1516915,0.11586283,0.12378184
26,0.12460224,0.14938846,0.12795886,0.13111567,0.13373551,0.11447277,0.14220129,0.12303208,0.14451317,0.15098429
27,0.11980086,0.17104834,0.16956301,0.19708838,0.12672767,0.13479576,0.15404098,0.13993534,0.13172042,0.13908309
28,0.13829355,0.17831737,0.12877557,0.13717231,0.12387431,0.15867378,0.1569119,0.12822221,0.13407381,0.11281032
29,0.12628376,0.15286866,0.13935499,0.14160812,0.11985156,0.13744298,0.1631694,0.13595386,0.13112287,0.1770868
30,0.16084851,0.1280554,0.1633185,0.14986281,0.1310026,0.1186492,0.11770825,0.13146693,0.14637528,0.18714039
31,0.14881715,0.11502792,0.120935805,0.115152225,0.14242266,0.13506335,0.13936037,0.11635135,0.14165525,0.13145658
32,0.11709687,0.12676837,0.1106372,0.14671509,0.14001355,0.1268617,0.15202193,0.13700223,0.1390363,0.119431265
33,0.1344469,0.14099166,0.13541254,0.14713879,0.14346775,0.13869661,0.1533539,0.12119244,0.11640388,0.1215436
34,0.14280759,0.12481055,0.11976346,0.11326013,0.12837717,0.1311549,0.13205883,0.12878561,0.11398889,0.1186969
